Kali Uchis
Bad Bunny,Jhay Cortez
KAROL G
Myke Towers,Juhn
Bad Bunny,ROSALÍA
Maluma
The Weeknd
Rauw Alejandro,Anuel AA
Selena Gomez,Rauw Alejandro
Camilo
Boza
The Weeknd
Rauw Alejandro
Sech,Daddy Yankee,J Balvin,ROSALÍA,Farruko
Wisin,Myke Towers,Los Legendarios
Rochy RD,Myke Towers,Nicki Nicole
Bad Bunny
Kevin Roldan,Bryant Myers,Lyanno
Lele Pons,Guaynaa
Piso 21,Maluma
Manuel Turizo,Rauw Alejandro,Myke Towers
Maluma,Lenny Tavárez,Justin Quiles
Black Eyed Peas,Shakira
Farruko
Olivia Rodrigo
Sebastian Yatra,Guaynaa
Camilo
Camilo,El Alfa
Jay Wheeler,DJ Nelson,Myke Towers
Christian Nodal,Ángela Aguilar
KAROL G,Anuel AA,J Balvin
Danna Paola
Bad Bunny
El Fantasma,Los Dos Carnales
Christian Nodal
J Balvin,Tainy,Dua Lipa,Bad Bunny
Alejandro Fernández,Christian Nodal
Justin Quiles
Cartel De Santa,Aleman,Millonario,Adan Cruz
Piso 21,Christian Nodal
Grupo Firme,Carin Leon
Lenin Ramírez,Grupo Firme
Aleman,Snoop Dogg
Milly,Farruko,Nio Garcia,Jay Wheeler,Amenazzy
Jerry Di
J Balvin,Bad Bunny
KAROL G,Nicki Minaj
Justin Quiles
Bizarrap,Nathy Peluso
Nanpa Básico,Gera MX,Charles Ans
