Myke Towers,Juhn
Bad Bunny,ROSALÍA
Bad Bunny,Jhay Cortez
Rochy RD,Myke Towers,Nicki Nicole
Boza
Kali Uchis
KAROL G
Rauw Alejandro,Anuel AA
Milly,Farruko,Nio Garcia,Jay Wheeler,Amenazzy
Selena Gomez,Rauw Alejandro
CNCO
Wisin,Myke Towers,Los Legendarios
Sebastian Yatra,Guaynaa
Camilo,El Alfa
Camilo,Evaluna Montaner
Ovy On The Drums,Danny Ocean,KAROL G
Maluma
Kevin Roldan,Bryant Myers,Lyanno
Manuel Turizo,Rauw Alejandro,Myke Towers
Maluma,Lenny Tavárez,Justin Quiles
Justin Quiles
Camilo
Migrantes,Alico
Sech,Daddy Yankee,J Balvin,ROSALÍA,Farruko
Adso Alejandro
Justin Quiles
Jay Wheeler,DJ Nelson,Myke Towers
KAROL G,Anuel AA,J Balvin
Maluma
Flow La Movie,Nio Garcia,Casper Magico
Manuel Turizo,Wisin & Yandel
Bad Bunny
Piso 21,Maluma
Sech
Farruko
Nicky Jam,Myke Towers
Wisin,Yandel,Farruko,Jon Z,Don Chezina,Chencho Corleone,Myke Towers
Nicky Jam,Romeo Santos
Camilo
Jerry Di
Los Legendarios,Wisin,Jhay Cortez
Rauw Alejandro,Camilo
Ozuna,J Balvin,Chencho Corleone
KAROL G
Ozuna,Camilo
The Weeknd
Olivia Rodrigo
The Weeknd
Lele Pons,Guaynaa
Black Eyed Peas,Shakira
