Bad Bunny,Jhay Cortez
Bad Bunny,ROSALÍA
Myke Towers,Juhn
Kali Uchis
KAROL G
Bad Bunny
Rauw Alejandro,Anuel AA
Boza
Kevin Roldan,Bryant Myers,Lyanno
Bad Bunny
Rochy RD,Myke Towers,Nicki Nicole
Milly,Farruko,Nio Garcia,Jay Wheeler,Amenazzy
Maluma
Wisin,Myke Towers,Los Legendarios
Farruko
J Balvin,Tainy,Dua Lipa,Bad Bunny
Manuel Turizo,Rauw Alejandro,Myke Towers
Selena Gomez,Rauw Alejandro
Jay Wheeler,DJ Nelson,Myke Towers
The Weeknd
Jhay Cortez,Bad Bunny
The Weeknd
Sech,Daddy Yankee,J Balvin,ROSALÍA,Farruko
Los Legendarios,Wisin,Jhay Cortez
Sebastian Yatra,Guaynaa
Bad Bunny
Ozuna,J Balvin,Chencho Corleone
J Balvin,Bad Bunny
KAROL G,Anuel AA,J Balvin
Maluma,Lenny Tavárez,Justin Quiles
Nicky Jam,Myke Towers
Christian Nodal
Justin Quiles
Nio Garcia,Anuel AA,Myke Towers,Brray,Juanka
Camilo,El Alfa
Jerry Di
Olivia Rodrigo
Bad Bunny,Daddy Yankee
Lele Pons,Guaynaa
Sech
Bad Bunny
KAROL G
Camilo
Rauw Alejandro,Camilo
Jay Wheeler,Myke Towers,Rauw Alejandro,DJ Nelson,Jhay Cortez,Lunay,Kendo Kaponi
Camilo
Super Yei,Jone Quest,Sammy,Myke Towers,Lenny Tavárez,Rafa Pabön
Bad Bunny
Bad Bunny
Ozuna,Camilo
