Rochy RD,Myke Towers,Nicki Nicole
Myke Towers,Juhn
Papu DJ,L-Gante
Bad Bunny,ROSALÍA
Maria Becerra,Cazzu
KAROL G
Boza
Bad Bunny,Jhay Cortez
Migrantes,Alico
Selena Gomez,Rauw Alejandro
Camilo,El Alfa
Rauw Alejandro,Anuel AA
Maria Becerra,Rusherking
Camilo
Manuel Turizo,Rauw Alejandro,Myke Towers
El Reja,Lira
Sebastian Yatra,Guaynaa
Nicki Nicole,Dread Mar I,Bizarrap
Bizarrap,Nathy Peluso
Maria Becerra
Maluma
Justin Quiles
Nicky Jam,Myke Towers
Milly,Farruko,Nio Garcia,Jay Wheeler,Amenazzy
Luck Ra
Kali Uchis
Ozuna,J Balvin,Chencho Corleone
Farruko
Sech,Daddy Yankee,J Balvin,ROSALÍA,Farruko
Camilo
L-Gante,El Mas Ladron,DT.Bilardo
Maluma,Lenny Tavárez,Justin Quiles
Justin Quiles
Bizarrap,YSY A
Wisin,Myke Towers,Los Legendarios
Nathy Peluso
Bad Bunny
Ozuna,Camilo
The La Planta,Nestor En Bloque,Marka Akme,MOMO,Pushi
Lyanno,Rauw Alejandro,Lenny Tavárez,Maria Becerra
Rauw Alejandro,J Balvin
Lele Pons,Guaynaa
Jay Wheeler,DJ Nelson,Myke Towers
Olivia Rodrigo
Rauw Alejandro,Camilo
Kevin Roldan,Bryant Myers,Lyanno
Maria Becerra,TINI,Lola Indigo
Fer Palacio,DJ Alex,Santiago Saez
CNCO
Camilo,Evaluna Montaner
